dist,camp
9.02,8.06
9.11,8.52
9.19,6.42
9.33,8.06
9.36,9.68
9.36,6.92
9.36,8.51
9.36,7.54
9.36,7.56
9.36,8.46
9.54,9.5
9.55,8.9
9.71,5.54
9.78,7.19
9.78,4.92
9.78,9.59
9.78,9.72
9.78,9.49
9.78,7.65
9.89,7.14
9.91,7.18
10.05,6.76
10.06,8.19
10.19,10.05
10.23,10.25
10.23,7.19
10.23,7.48
10.23,8.21
10.23,8.21
10.23,9.81
10.29,8.16
10.32,7.96
10.35,7.23
10.41,10.43
10.46,7.57
10.46,7.1
10.46,7.23
10.46,9.15
10.46,10.79
10.46,8.36
10.48,8.9
10.54,12.29
10.54,9.62
10.54,9.5
10.54,9.63
10.54,8.15
10.54,8.54
10.59,9.05
10.71,9.07
10.75,11.34
10.83,7.63
10.95,6.05
10.95,11.37
11.07,7.31
11.07,7.4
11.07,10.06
11.07,10.47
11.07,7.33
11.07,8.3
11.17,9.34
11.24,7.87
11.37,7.44
11.42,7.78
11.58,9.73
11.58,8.35
11.58,9.58
11.58,9.3
11.58,9.56
11.58,9.79
11.60,7.22
11.78,8.96
11.78,8.24
11.96,7.31
11.96,8.78
11.96,9.14
11.96,7.93
11.96,7.3
11.96,7.65
11.97,9.51
12.16,8.66
12.18,9.36
12.35,7.73
12.37,11.1
12.54,7.89
12.56,10.23
12.56,9.24
12.56,8.48
12.56,7.67
12.56,8.58
12.56,10.37
12.73,7.71
12.80,9.04
12.93,7.53
12.93,5.39
12.93,7.12
12.93,7.07
12.93,8.38
12.93,7.43
13.04,7.35
13.17,6.69
13.27,7.48
13.40,6.61
13.51,5.76
13.64,8.17
13.74,6.99
13.74,9.14
13.74,5.78
13.74,8.58
13.74,6.64
13.74,7.82
13.88,6.06
13.98,6.96
14.13,8.41
14.13,6.45
14.13,7.32
14.13,7.2
14.13,7.03
14.13,5.54
14.21,7.41
14.34,6.33
14.44,7.74
14.56,7.98
14.67,7.42
14.78,6.32
14.89,6.35
14.89,6.28
14.89,4.17
14.89,5.52
14.89,6.58
14.89,8.08
15.00,8.45
15.03,6.99
15.17,8.56
15.23,8.25
15.23,8.91
15.23,6.82
15.23,8.23
15.23,7.95
15.23,7.96
15.30,5.96
15.44,8.2
15.45,7.02
15.58,4.82
15.58,6.52
15.58,8.66
15.58,6.6
15.58,8.28
15.58,7.07
15.67,7.79
15.78,7.59
15.90,6.9
15.98,6
16.12,8.9
16.16,6.35
16.35,8.87
16.35,9.36
16.35,9.04
16.35,7.62
16.35,8.21
16.35,8.39
16.36,7.57
16.54,7.23
16.54,7.18
16.54,7.39
16.54,7.24
16.54,8.27
16.54,7.8
16.54,10.13
16.73,7.11
16.75,6.72
16.92,7.56
16.93,8.19
17.10,7.45
17.14,11.35
17.29,9.27
17.34,9.99
17.34,8.74
17.34,7.93
17.34,7.6
17.34,8.47
17.34,9.53
17.46,8.75
17.46,7.84
17.46,8.87
17.46,7.92
17.46,5.34
17.46,7.56
17.55,10.16
17.63,8.36
17.76,9.39
17.80,8.51
17.97,8.38
17.98,9.77
18.13,6.96
18.19,9.21
18.30,10.53
18.30,8.43
18.30,8.42
18.30,10.63
18.30,10.44
18.30,9.13
18.41,10.29
18.41,7.77
18.41,7.05
18.41,8.24
18.41,9.59
18.41,9.62
18.52,9.42
18.66,9.81
18.74,9.35
18.92,9.63
18.97,9.84
19.18,10.55
19.19,10.32
19.41,10.08
19.41,9.44
19.41,7.95
19.41,11.57
19.41,10.07
19.41,9.34
19.44,9.12
19.62,9.22
19.70,10.43
19.70,9.82
19.70,8.49
19.70,8.65
19.70,9.32
19.70,8.25
19.84,9.5
19.93,8.73
20.05,10.38
20.16,10.73
20.26,10.2
20.40,9.39
20.47,9.86
20.47,9.48
20.47,9.31
20.47,10.81
20.47,9.63
20.47,7.7
20.63,10.21
20.69,9.23
20.88,10.42
20.88,9.08
20.88,9.51
20.88,10.17
20.88,9.23
20.88,11.73
20.91,8.14
21.13,8.64
21.13,8.27
21.35,8.35
21.39,9.15
21.57,11.45
21.57,10.08
21.57,9.8
21.57,9.96
21.57,9.93
21.57,10.36
21.66,8.69
21.81,7.95
21.93,9.31
22.03,9.08
22.20,8.76
22.20,9.51
22.20,9.88
22.20,8.58
22.20,9.86
22.20,9.33
22.24,9.81
22.46,9.19
22.50,8.21
22.68,11.33
22.68,10.11
22.68,9.73
22.68,8.12
22.68,10.07
22.68,10.61
22.80,9.48
22.89,9.27
23.09,10.43
23.10,8.93
23.30,9.19
23.40,9.13
23.50,9.16
23.70,10.66
23.70,7.44
23.70,9.35
23.70,10.05
23.70,10.07
23.70,10.53
23.70,10.9
23.70,9.79
23.70,8.26
23.70,9.8
23.70,8.83
23.70,10.53
23.92,10.77
23.97,8.93
24.14,11.88
24.24,8.86
24.36,8.17
24.51,7.73
24.58,10.75
24.78,10.41
24.79,11.28
24.79,9.21
24.79,11.18
24.79,11.07
24.79,11.16
24.79,11.35
25.06,8.89
25.06,7.69
25.06,8.99
25.06,7.78
25.06,7.96
25.06,8.64
25.06,10.34
25.33,9.92
25.35,6.85
25.60,8.69
25.64,7.71
25.87,10.45
25.93,9.2
26.13,8.91
26.13,7.98
26.13,9.42
26.13,8.95
26.13,9.22
26.13,9.32
26.22,9.8
26.38,10.7
26.51,8.96
26.51,8.62
26.51,10.06
26.51,8.21
26.51,10.41
26.51,10.01
26.63,9.88
26.73,7.53
26.88,10.47
26.95,8.46
27.12,9.97
27.18,9.82
27.36,8.76
27.36,9.67
27.36,10.5
27.36,10.04
27.36,9.2
27.36,9.53
27.41,10.3
27.63,8.32
27.64,9.84
27.64,9.85
27.64,8.58
27.64,9.84
27.64,10.43
27.64,8.93
27.88,7.77
27.91,6.7
28.12,8.43
28.18,9.5
28.36,8.73
28.45,9.1
28.59,9.27
28.72,10.39
28.72,9.16
28.72,7.7
28.72,9.24
28.72,7.75
28.72,8.58
28.83,10.85
28.83,9.56
28.83,8.63
28.83,9.92
28.83,9.29
28.83,9.83
28.96,9.6
29.06,9.73
29.19,7.83
29.30,10.08
29.42,11.56
29.53,8.83
29.66,10.58
29.78,10.4
29.88,9.38
29.88,9.69
29.88,9.93
29.88,9.86
29.88,9.48
29.88,8.05
30.02,8.97
30.02,11.63
30.02,10.01
30.02,10.58
30.02,9.01
30.02,11.42
30.17,8.63
30.32,11.52
30.46,9.96
30.61,11.49
30.74,9.46
30.91,10.09
31.03,9.25
31.21,11.86
31.31,10.97
31.31,9.09
31.31,11.85
31.31,11.41
31.31,12.43
31.31,10.57
31.52,12.87
31.52,10.62
31.52,12.63
31.52,11.98
31.52,12.27
31.52,11.58
31.61,11.68
31.77,13.75
31.92,12.07
32.03,12.26
32.21,12.06
32.28,12.78
32.52,13.14
32.54,14.39
32.81,12.93
32.81,14.27
32.81,12.88
32.81,14.01
32.81,14.12
32.81,13.83
32.81,12.6
32.81,13.09
32.81,12.76
32.81,10.72
32.81,12.03
32.81,12.75
33.08,14.49
33.09,13.91
33.34,13.76
33.39,13.69
33.60,13.67
33.69,13.83
33.86,14.09
33.98,15.59
34.12,14.44
34.12,12.95
34.12,15.72
34.12,15.68
34.12,16.38
34.12,14.39
34.28,13.24
34.28,14.12
34.28,13.6
34.28,14.37
34.28,15.79
34.28,14.25
34.36,14.61
34.53,15.15
34.61,13.34
34.79,14.32
34.85,14.65
35.05,15.63
35.09,15.93
35.31,13.49
35.33,16.08
35.33,15.94
35.33,15.11
35.33,15.3
35.33,16.64
35.33,17.43
35.57,17.18
35.58,16.11
35.58,15.44
35.58,14.48
35.58,14.17
35.58,14.45
35.58,13.84
35.80,15.86
35.81,14.22
36.04,16.05
36.06,15.95
36.27,16.39
36.31,14.8
36.49,16.71
36.49,15.32
36.49,16.39
36.49,16.53
36.49,13.27
36.49,15.88
36.55,15.08
36.80,16.14
36.81,15
36.81,14.66
36.81,14.78
36.81,15.46
36.81,14.87
36.81,15.15
37.05,13.85
37.10,16.46
37.30,14.75
37.41,15.93
37.55,12.93
37.71,15.27
37.80,13.84
38.01,16.32
38.01,14.11
38.01,14.93
38.01,16.8
38.01,15.5
38.01,15.97
38.06,16.5
38.06,13.13
38.06,13.83
38.06,15.61
38.06,15.31
38.06,15.37
38.28,12.52
38.33,14.56
38.55,15.37
38.61,13.41
38.82,16.74
38.89,14.27
39.10,14.79
39.17,15.61
39.36,14.37
39.36,15.17
39.36,13.53
39.36,13.67
39.36,15.54
39.36,15.28
39.45,13.54
39.45,14.44
39.45,14.7
39.45,12.8
39.45,16
39.45,14.6
39.64,14.98
39.75,15.09
39.92,16.07
40.06,17.05
40.20,15.31
40.36,16.32
40.47,15.85
40.67,14.89
40.74,14.09
40.74,14.79
40.74,16.74
40.74,15.84
40.74,16.64
40.74,16.54
40.97,15.59
40.97,15.9
40.97,14.72
40.97,16.19
40.97,16.02
40.97,15.53
41.06,15.82
41.26,14.6
41.36,14.26
41.56,14.64
41.67,15.14
41.86,14.51
41.98,15.63
42.16,16.7
42.28,17.59
42.28,15.07
42.28,14.43
42.28,15.09
42.28,14.35
42.28,16.52
42.46,16.9
42.46,16.94
42.46,16.53
42.46,16.05
42.46,15.55
42.46,14.92
42.54,15.59
42.67,17.31
42.80,15.64
42.88,17.76
43.05,17.29
43.10,17.55
43.31,18.32
43.31,14.64
43.53,17.1
43.53,13.73
43.53,19.13
43.53,18
43.53,19.05
43.53,15.64
43.57,16.07
43.57,15.76
43.57,15.93
43.57,15.54
43.57,16.17
43.57,14.57
43.71,14.74
43.83,17.12
43.88,14.73
44.05,13.59
44.08,16.77
44.22,12.13
44.34,14.77
44.40,14.46
44.40,10.42
44.40,12.13
44.40,11.96
44.40,9.4
44.40,10.52
44.60,17.12
44.61,10.8
44.83,10.55
44.85,17.69
44.85,15.65
44.85,17.17
44.85,17.33
44.85,17.85
44.85,17.11
45.06,9.99
45.17,17.63
45.28,10.94
45.47,17
45.51,10.74
45.51,9.61
45.51,8.4
45.51,10.76
45.51,13.63
45.51,10.77
45.78,17.14
45.81,9.96
46.09,18.66
46.12,10.15
46.39,17.24
46.39,17.33
46.39,16.55
46.39,16.81
46.39,15.88
46.39,18.12
46.43,10.84
46.65,17.82
46.73,10.14
46.89,15.54
47.05,10.48
47.05,12.59
47.05,11.43
47.05,9.91
47.05,9.9
47.05,11.29
47.14,16.08
47.37,11.54
47.38,15.4
47.63,17.73
47.63,16.04
47.63,17.93
47.63,17.05
47.63,16.09
47.63,16.44
47.70,10.74
47.93,18.55
48.03,12.16
48.22,17.61
48.36,12.06
48.52,17.94
48.69,11.47
48.69,10.41
48.69,11.04
48.69,10.79
48.69,11.62
48.69,10.81
48.81,18.24
49.03,10.41
49.09,19.25
49.09,17.35
49.09,16.39
49.09,17.61
49.09,17.16
49.09,17.87
49.37,16.76
49.37,10.05
49.64,15.52
49.71,10.32
49.91,16.19
50.05,10.88
50.18,16.14
50.39,10.87
50.39,12.63
50.39,11.13
50.39,11.45
50.39,10.66
50.39,11.43
50.44,18
50.44,16.63
50.44,17.06
50.44,16
50.44,15.77
50.44,17.8
50.69,13.31
50.70,17.87
50.94,18.35
51.00,12.61
51.18,16.53
51.31,11.07
51.42,15.39
51.62,10.62
51.66,12.98
51.66,13.13
51.66,13.68
51.66,13.32
51.66,14.35
51.66,14.35
51.93,10.66
51.93,10.72
51.93,12.32
51.93,10.54
51.93,11.59
51.93,11.23
51.94,13.06
52.20,13.35
52.32,11.51
52.47,11.7
52.71,11.32
52.73,12.93
53.00,14.26
53.00,12.3
53.00,14.14
53.00,13.58
53.00,14.49
53.00,13.62
53.10,12.91
53.29,11.97
53.49,11.17
53.57,13.21
53.85,13.7
53.89,12.27
53.89,13.04
53.89,11.2
53.89,10.67
53.89,11.52
53.89,11.07
54.13,13.63
54.25,12.7
54.41,11.83
54.41,12.55
54.41,12.53
54.41,11.47
54.41,13.66
54.41,13.51
54.62,13.86
54.65,11.78
54.88,13.27
54.99,12.43
55.11,11.5
55.35,12.16
55.37,14.24
55.57,12.21
55.57,12.17
55.57,12.15
55.57,12.22
55.57,11.95
55.57,9.55
55.74,14.55
55.74,13.09
55.74,14.21
55.74,13.1
55.74,13.27
55.74,15.33
55.82,12.4
56.06,16.41
56.08,12.15
56.33,11.51
56.38,15.89
56.58,9.03
56.72,14.97
56.83,11.69
56.83,11.85
56.83,11.6
56.83,13.25
56.83,12.63
56.83,12.24
57.04,17.22
57.07,10.91
57.32,8.38
57.37,18.99
57.37,16.46
57.37,18.37
57.37,17.04
57.37,16.64
57.37,18.38
57.56,11.12
57.66,18.21
57.80,11.52
57.96,16.66
58.04,8.55
58.04,10.42
58.04,9.9
58.04,11.13
58.04,10.74
58.04,11.89
58.22,9.74
58.25,17.28
58.38,10.84
58.55,16
58.56,10.38
58.73,10.48
58.84,15.7
58.84,16.37
58.84,16.82
58.84,16.31
58.84,16.07
58.84,15.45
58.89,11.25
58.89,9.47
58.89,9.24
58.89,8.92
58.89,8.95
58.89,9.57
59.00,11.55
59.11,12.31
59.18,15.77
59.21,13.47
59.32,13.81
59.43,14.49
59.43,12.73
59.43,14.66
59.43,14.55
59.43,12.87
59.43,11.5
59.52,14.99
59.68,15.58
59.86,15.01
59.92,15.44
60.16,14.56
60.20,15.3
60.40,12.12
60.54,16.41
60.54,13
60.54,13.8
60.54,14.55
60.54,13.34
60.54,12.18
60.64,16.2
60.64,14.98
60.64,14.85
60.64,15.63
60.64,14.7
60.64,15.05
60.86,13.52
60.90,11.72
61.16,13.68
61.19,13.51
61.41,14.46
61.51,12.47
61.67,14.82
61.84,13.55
61.92,13.49
61.92,14.36
61.92,12.02
61.92,14.22
61.92,15.02
61.92,14.5
62.17,13.89
62.17,13.53
62.17,13.68
62.17,14.94
62.17,14.28
62.17,13.02
62.17,13.38
62.42,14.64
62.52,15.35
62.66,14.74
62.87,13.53
62.91,13.43
63.15,14.05
63.15,15.41
63.15,14.43
63.15,14.33
63.15,11.71
63.15,12.22
63.22,13.88
63.42,13.58
63.57,14.64
63.67,13.65
63.93,14.66
63.93,14.74
63.93,14.82
63.93,14.25
63.93,15.57
63.93,13.81
63.93,14.64
64.19,13.95
64.24,14.03
64.44,14.06
64.44,12.94
64.44,14.64
64.44,13.62
64.44,12.9
64.44,14.1
64.57,15.11
64.70,14.38
64.89,15.6
64.95,12.42
65.20,15.13
65.22,15.67
65.45,15.96
65.54,17.38
65.54,15.85
65.54,16.25
65.54,16.43
65.54,16.27
65.54,16.88
65.70,16.05
65.70,15.79
65.70,15.89
65.70,15.92
65.70,15.97
65.70,17.65
65.86,17.59
65.93,16.4
66.16,17.04
66.18,17.09
66.39,16.29
66.50,16.22
66.62,17.52
66.82,16.84
66.85,18.25
66.85,16.22
66.85,17.97
66.85,15.03
66.85,15.67
66.85,17.52
67.10,18.69
67.14,16.01
67.14,13.82
67.14,15.95
67.14,14.85
67.14,16.37
67.14,14.28
67.35,17.51
67.48,15.61
67.58,17.76
67.82,15.95
67.83,17.11
68.06,15.71
68.06,15.77
68.06,16.71
68.06,17.23
68.06,16.83
68.06,14.88
68.17,16.67
68.32,16.43
68.51,14.49
68.57,15.65
68.82,14.94
68.86,13.7
68.86,16.4
68.86,13.82
68.86,13.95
68.86,13.82
68.86,14.21
69.07,15.15
69.17,13.11
69.31,16.96
69.31,13.69
69.31,14.45
69.31,15.95
69.31,16.15
69.31,14.98
69.48,13.43
69.58,12.76
69.81,12.6
69.84,13.85
70.11,15.24
70.12,13.68
70.37,13.22
70.45,12.89
70.45,11.86
70.45,13.44
70.45,11.56
70.45,12.82
70.45,12.39
70.63,13.86
70.63,13.49
70.63,11.54
70.63,13.11
70.63,13.49
70.63,13.31
70.77,11.81
70.88,14.24
71.10,11.34
71.13,13.01
71.38,12.96
71.43,11.66
71.63,13.06
71.76,11.28
71.87,13.96
71.87,11.62
71.87,13.06
71.87,12.97
71.87,11.57
71.87,10.57
72.09,9.95
72.09,8.6
72.09,12.81
72.09,10.28
72.09,10.93
72.09,9.84
72.12,12.43
72.35,11.82
72.37,11.77
72.59,12.08
72.67,10.11
72.83,11.2
72.96,9.9
73.06,12.12
73.06,10.36
73.06,11.62
73.06,11.4
73.06,11.07
73.06,11.32
73.26,9.14
73.34,10.24
73.55,10.8
73.55,9.81
73.55,10.06
73.55,11.27
73.55,11.14
73.55,8.9
73.61,8.98
73.88,10.45
73.88,9.32
74.14,11.95
74.23,11.2
74.41,9.5
74.41,6.2
74.41,10.22
74.41,10.21
74.41,9.01
74.41,9.98
74.57,10.1
74.66,9.59
74.91,10.34
74.92,8.42
75.15,11.15
75.27,10.79
75.27,10.1
75.27,9.23
75.27,11.39
75.27,9.57
75.27,10.08
75.39,10.2
75.60,11.19
75.62,9.68
75.62,8.71
75.62,8.27
75.62,9.18
75.62,8.51
75.62,9.11
75.82,10.53
75.93,10.51
76.00,10.01
76.20,9.22
76.26,10.91
76.38,9.28
76.56,10.16
76.56,8.5
76.56,11
76.56,10.2
76.56,9.11
76.56,7.38
76.59,11.87
76.78,9.55
76.93,11.53
76.93,9.59
76.93,10.87
76.93,10.77
76.93,10.77
76.93,11.7
76.99,9.39
77.20,9.47
77.26,12.18
77.41,9.02
77.61,10.17
77.63,9.71
77.63,10.26
77.63,11.18
77.63,10.8
77.63,10.26
77.63,10.63
77.85,10.6
77.95,11.6
78.07,9.69
78.29,8.54
78.30,12.17
78.52,10.8
78.64,13.1
78.64,10.89
78.64,9.22
78.64,9.68
78.64,12.08
78.64,10.66
78.73,10.07
78.73,10.9
78.73,9.99
78.73,9.77
78.73,11.08
78.73,10.99
78.98,10.87
78.98,8.72
79.23,10.37
79.33,10.93
79.47,11.02
79.67,9.84
79.71,10.93
79.95,12.03
79.95,11.45
79.95,10.4
79.95,12
79.95,10.79
79.95,11.02
80.02,10.82
80.18,11.47
80.37,8.75
80.37,10.89
80.37,10.76
80.37,9.63
80.37,9.44
80.37,10.09
80.39,10.93
80.60,10.89
80.69,11.83
80.81,11.46
81.02,10.47
81.02,10.57
81.02,11.17
81.02,10.98
81.02,11.31
81.02,10.41
81.03,9.84
81.23,10.2
81.36,11.5
81.43,11.19
81.63,12.01
81.70,11.02
81.84,10.45
82.04,10.4
82.04,9.39
82.04,10.01
82.04,10.87
82.04,11.57
82.04,9.38
82.04,8.89
82.04,8.84
82.04,10.13
82.04,10.87
82.04,11.37
82.04,9.68
82.25,9.13
82.42,8.83
82.46,10.05
82.66,8.94
82.80,10.54
82.87,7.96
83.08,9.83
83.08,9.11
83.08,10.86
83.08,10.6
83.08,11.36
83.08,10.09
83.18,9.21
83.32,9.78
83.56,8.62
83.56,10.14
83.79,9.41
83.95,12.25
83.95,7.97
83.95,12.62
83.95,10.98
83.95,9.53
83.95,9.58
84.03,9.57
84.26,7.69
84.26,9.39
84.26,10.9
84.26,10.02
84.26,9.74
84.26,10.85
84.27,11.41
84.52,11.17
84.58,9.93
84.77,11.26
84.90,9.97
85.03,9.48
85.21,9.58
85.28,10.54
85.52,9.87
85.52,9.66
85.52,9.11
85.52,8.37
85.52,10.4
85.52,11.14
85.54,8.84
85.54,11.62
85.54,9.28
85.54,10.21
85.54,10.86
85.54,10.11
85.78,10.34
85.91,10.23
86.03,10.36
86.28,10.2
86.30,11.65
86.53,10.08
86.66,10.6
86.78,9.68
86.78,10.41
86.78,9.06
86.78,9.73
86.78,10.17
86.78,9.66
87.04,9.7
87.05,11.23
87.28,9.4
87.43,9.45
87.43,14.08
87.43,11.34
87.43,9.08
87.43,10
87.43,9.22
87.54,9.3
87.78,9.34
87.80,10.16
88.03,10.74
88.03,8.72
88.03,9.25
88.03,9.95
88.03,9.85
88.03,9.63
88.16,11.46
88.27,8.01
88.51,8.46
88.53,10.48
88.74,9.7
88.90,11.88
88.97,9.75
89.20,10.6
89.20,8.97
89.20,9.06
89.20,9.22
89.20,9.12
89.20,9.15
89.26,10.91
89.26,9.58
89.26,9.19
89.26,9.9
89.26,11.03
89.26,12.05
89.48,9.22
89.59,10.12
89.74,8.52
89.92,9.62
90.01,8.96
90.25,10.28
90.27,10.44
90.54,9.11
90.54,11.35
90.54,9.39
90.54,8.88
90.54,7.13
90.54,9.21
90.58,10.68
90.78,11.28
90.91,10.27
90.91,12.53
90.91,11.35
90.91,10.51
90.91,10.62
90.91,9.67
91.02,9.8
91.20,11.1
91.26,9.52
91.48,11.13
91.50,9.68
91.73,8.41
91.73,9.78
91.73,9.93
91.73,10.62
91.73,9.58
91.73,9.88
91.77,12.1
92.00,9.87
92.06,12.58
92.26,10.63
92.35,11.43
92.35,12.05
92.35,11.4
92.35,12.04
92.35,9.64
92.35,10.63
92.52,8.57
92.64,11.71
92.78,10.79
92.93,12.32
93.03,8.26
93.03,10.42
93.03,10.81
93.03,10.06
93.03,10.67
93.03,9.67
93.21,11.49
93.28,10.37
93.50,10.29
93.53,11.42
93.77,11.34
93.80,10.85
93.80,9.21
93.80,12.65
93.80,12.99
93.80,11.64
93.80,11.27
94.02,10.68
94.17,11.05
94.26,10.07
94.26,10.94
94.26,11.07
94.26,8.41
94.26,10.73
94.26,10.28
94.51,10.46
94.54,9.27
94.75,12.15
94.92,10.52
94.99,9
95.24,9.49
95.29,11.75
95.48,9.78
95.48,9.92
95.48,9.28
95.48,10.98
95.48,10.98
95.48,9.8
95.68,11.78
95.68,11.05
95.68,10.94
95.68,12.68
95.68,12.67
95.68,10.2
95.71,9.89
95.94,10.57
96.03,11.68
96.16,10.56
96.39,8.51
